album_name,artist_name,track_name,track_preview,track_uri,genre,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_image,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Spectral Contrast Freq Band1,Spectral Contrast Freq Band2,Spectral Contrast Freq Band3,Spectral Contrast Freq Band4,Spectral Contrast Freq Band5,Spectral Contrast Freq Band6,Spectral Contrast Freq Band7,mp3 File
Mezmerize,System Of A Down,B.Y.O.B.,https://p.scdn.co/mp3-preview/2f373f029e1110b19c265b8f4bc4d265e5fa9539?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:0EYOdF5FCkgOJJla8DI2Md,Metal,0.00662,0.538,0.981,1,-2.688,0,0.14,0.0,0.219,0.711,101.414,255467,4,https://i.scdn.co/image/ab67616d00001e02c65f8d04502eeddbdd61fa71,49.28076,69.64464,-27.67204,17.246847,-3.321701,9.916251,4.5399313,11.510964,3.008568,10.127657,0.23466265,4.3113074,-5.79133,-0.5965744,-8.527576,0.9166518,-2.8405237,4.734248,-2.9236324,1.636223,19.99275889373708,13.247240557509123,15.996895904368882,15.611406115645497,15.655824319854545,16.977373350784895,35.707459226344525,actual_music\_BYOB_SystemOfADown.mp3
City of Evil,Avenged Sevenfold,Bat Country,https://p.scdn.co/mp3-preview/9c605557a5561b8bc6e2b7bcc84516bdfb614442?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:3sHH7lklbfpcraDDvYnjo7,Metal,0.000248,0.541,0.968,0,-4.129,1,0.0396,8.28e-06,0.423,0.505,125.04,311813,4,https://i.scdn.co/image/ab67616d00001e0264312d8b81af58876a7ca5ee,19.34,62.856617,-25.295008,38.00033,6.8560243,17.836454,2.1775522,12.147179,6.772624,12.767921,4.521564,11.117631,-2.2932909,4.8965282,-6.1239667,5.6153207,-3.9766667,3.1802578,-0.8182376,2.3691618,20.828938769976315,14.108543285096955,17.20951570831258,17.853299269924268,18.73785413790666,19.388540418253843,35.75517834078849,actual_music\_BatCountry_AvengedSevenfold.mp3
Life,Dope,Die MF Die,https://p.scdn.co/mp3-preview/1687f6a85501b561001ddd3ba40057929ffd78d6?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:5bU4KX47KqtDKKaLM4QCzh,Metal,0.00169,0.657,0.96,5,-3.524,0,0.07,0.000997,0.109,0.567,126.02,186067,4,https://i.scdn.co/image/ab67616d00001e021aa2474909c648492bcf27ce,48.433937,60.712753,-2.4871657,34.161366,4.279759,13.140553,8.841263,11.925976,2.5740159,12.091522,0.7404304,7.151184,-2.3765223,-0.91108257,-4.7080507,4.5890193,-4.322936,3.1032424,-3.477567,1.3605708,19.13013715144082,12.796025984312669,14.562585740162138,14.319087269567703,14.775856194626561,16.287831124461487,33.429493248993474,actual_music\_DieMFDie_Dope.mp3
One-X,Three Days Grace,Animal I Have Become,https://p.scdn.co/mp3-preview/3fa8d7a4d37672cd6e26c2f7ffed19758894d55c?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:5eFxwmqKrHpSQDOEIFYlgY,Metal,0.000684,0.553,0.853,8,-3.668,1,0.0339,0.0,0.126,0.506,122.023,231400,4,https://i.scdn.co/image/ab67616d00001e02fa4c18fdbd1bf1a39b7b794f,55.223866,68.660614,-2.2314405,29.423067,3.858093,11.543295,-4.168764,3.9431303,1.4178196,4.9483953,0.8067849,8.552874,-7.219152,3.627132,-5.230725,6.9085507,-4.8061867,5.9744067,0.8183406,3.2353694,18.807184936796222,13.468525445192292,16.848630918022497,16.65500986548502,16.608084697574967,16.633405470742023,36.593672848975444,actual_music\_AnimalIHaveBecome_ThreeDaysGrace.mp3
Toxicity,System Of A Down,Chop Suey!,https://p.scdn.co/mp3-preview/cd2a1f9fd7619bdae4e2e718b11d5bb054a3d677?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:2DlHlPMa4M17kufBvI2lEN,Metal,0.000278,0.417,0.934,7,-3.908,0,0.119,0.0015,0.132,0.287,127.066,210240,4,https://i.scdn.co/image/ab67616d00001e0230d45198d0c9e8841f9a9578,29.694864,62.645485,-23.687342,32.58785,6.221318,13.719052,6.8746886,11.445092,3.1645017,9.958377,-4.2201724,5.193051,-9.301161,-2.759686,-1.7140977,3.019065,-9.19794,-0.8125703,-2.2437704,0.21064064,22.203867667788337,13.963402754851924,15.991292930642258,16.389110475128284,16.767354982564335,18.817394691005205,35.437351721813044,actual_music\_ChopSuey_SystemOfADown.mp3
The Poison,Bullet For My Valentine,Tears Don't Fall,https://p.scdn.co/mp3-preview/dc59e7e96169087040e9404dd1ab9c494022dead?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:7ln7o4q6y9h8qEc6hGrtr1,Metal,0.000705,0.214,0.931,7,-3.347,0,0.143,3.09e-06,0.0797,0.233,162.115,348387,4,https://i.scdn.co/image/ab67616d00001e0240deaedd1bc625494819049b,34.804108,62.10426,-16.438251,33.71956,-6.297703,12.407341,1.042461,15.00006,-3.4095705,9.054318,-2.0868118,6.314506,-3.3080804,5.5523686,-1.987222,5.2774005,-4.826494,0.65997696,-6.2651854,2.4767628,20.507021684107492,14.2925765407915,17.74130791546184,17.287564276987524,16.144129569198036,17.15976945180998,37.590512205121954,actual_music\_TearsDontFall_BulletForMyValentine.mp3
Runnin' Wild,Airbourne,Runnin' Wild,https://p.scdn.co/mp3-preview/95e436d800b5a01171e2d98faf0c1a8a1402a53b?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:1wXuogT7bvqnhuWzDBNOdV,Metal,9.25e-05,0.503,0.96,10,-2.672,1,0.0626,0.578,0.274,0.489,162.022,218040,4,https://i.scdn.co/image/ab67616d00001e02288b8595213e38d99b6f9d6c,57.69652,81.359505,-29.308651,22.866846,8.022204,5.4148903,3.4360003,14.282501,1.6254202,8.254868,2.1620772,4.511947,-2.844906,5.2821374,-4.8317895,1.1114459,-3.8527148,2.5640872,-3.677547,0.46267307,19.707285016503015,12.676276681347218,15.791502588369301,16.29888587348877,16.36418881284624,17.306655900112844,34.12083697410277,actual_music\_RunninWild_Airbourne.mp3
Lost and Found,Mudvayne,Happy?,https://p.scdn.co/mp3-preview/02b00e7558b3cab8501dc3a9014269cb16bd08e3?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:0INUE1K7cEiE8VH63Rv5RJ,Metal,0.000823,0.546,0.97,5,-2.661,0,0.097,2.08e-05,0.275,0.383,100.065,216427,4,https://i.scdn.co/image/ab67616d00001e02d23c71c684a6e4d669e8deff,56.040974,65.781,-21.194414,33.929966,9.896454,15.511208,-0.88902223,9.71536,-0.7019142,8.360781,-1.4785111,5.342356,-0.99855924,1.5877686,-7.150835,1.1669786,-3.7992597,2.1261892,0.0042459117,5.2311554,19.034114481686938,13.566225103794538,15.420236613042944,15.688762530882482,16.135024437239338,16.843351331757273,37.21705060955316,actual_music\_Happy_Mudvayne.mp3
As Daylight Dies (Special Edition),Killswitch Engage,My Curse,https://p.scdn.co/mp3-preview/591da0da6fe74da8c2b774dd2670e94b1361d5da?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:6zKF4293k44ItKWJJgrhXv,Metal,7.61e-05,0.197,0.956,10,-2.908,0,0.0663,0.00992,0.261,0.209,177.018,244773,3,https://i.scdn.co/image/ab67616d00001e02cc5bb1a3f809896baf67dba4,37.2323,80.66849,-20.740633,28.71041,3.9916637,19.868292,1.8172146,8.73385,2.3752363,11.48413,5.1047173,10.590735,-5.004055,1.6509984,-6.041062,2.7520447,-3.5018175,0.17286082,-1.970016,1.9254037,16.850264382755075,14.541001391036367,15.663856039461976,15.699777269019886,15.587311412170564,16.572034477993874,36.56963158020389,actual_music\_MyCurse_KillswitchEngage.mp3
Guitar Gangsters & Cadillac Blood,Volbeat,Still Counting,https://p.scdn.co/mp3-preview/6f03da83128273887883839949e184c29cbc0598?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:1znGxpojJSjxZZEWA5zWva,Metal,0.00039,0.309,0.919,2,-3.131,1,0.0609,0.000225,0.423,0.322,103.891,261813,4,https://i.scdn.co/image/ab67616d00001e029daf215ff64034b5f9e02593,35.96844,75.86235,-26.567228,35.789516,18.279724,10.1255455,1.8986136,10.309948,-1.2886782,8.803342,1.8744915,7.3724027,-2.7226808,4.7784433,-10.799849,0.9049796,-7.8488746,3.6322927,-1.4917359,-0.80338603,21.223317293321678,14.906217502996952,19.991701693546542,17.403370380675756,16.486513067816432,18.06237569107468,34.56549197435462,actual_music\_StillCounting_Volbeat.mp3
